Mannesmann Tor 2||||||||4.21|4.36|4.51||5.06||5.21||5.36||5.51||6.06||6.21||6.36||6.51|||7.06||7.21||7.36||7.51||8.06||8.21||8.36||8.51||9.06||9.21||9.36||9.51||10.06||10.21||10.36||10.51||11.06||11.21||11.36||11.51||12.06||12.21||12.36||12.51||13.06||13.21||13.36||13.51||14.06||14.21||14.36||14.51||15.06||15.21||15.36||15.51||16.06||16.21||16.36||16.51||17.06||17.21||17.36||17.51||18.06||18.21||18.36||18.51||19.06|19.21|19.31|19.46||20.01|20.16|20.31|20.46|21.01|21.31|22.01|22.31|23.01|23.31|0.01
Mannesmann Tor 1||||||||23|38|53||08||23||38||53||08||23||38||53|||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08|23|33|48||03|18|33|48|03|33|03|33|03|33|03
Berzelius||||||||24|39|54||09||24||39||54||09||24||39||54|||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09|24|34|49||04|19|34|49|04|34|04|34|04|34|04
Rheinstahl||||||||25|40|55||10||25||40||55||10||25||40||55|||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10|25|35|50||05|20|35|50|05|35|05|35|05|35|05
Heiligenbaumstraße||||||||26|41|56||11||26||41||56||11||26||41||56|||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11|26|36|51||06|21|36|51|06|36|06|36|06|36|06
Ehinger Straße||||||||27|42|57||12||27||42||57||12||27||42||57|||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12|27|37|52||07|22|37|52|07|37|07|37|07|37|07
Neuenhofstraße||||||||29|43|59||14||29||44||59||14||29||44||59|||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14|29|38|53||08|23|38|53|08|38|08|38|08|38|08
Rheintörchenstraße||||||||30|45|5.00||15||30||45|5.53|6.00|6.08|15|6.23|30|6.38|45|6.53|7.00|7.04|7.08|15|7.23|30|7.38|45|7.53|8.00|8.08|15|8.23|30|8.38|45|8.53|9.00|9.08|15|9.23|30|9.38|45|9.53|10.00|10.08|15|10.23|30|10.38|45|10.53|11.00|11.08|15|11.23|30|11.38|45|11.53|12.00|12.08|15|12.23|30|12.38|45|12.53|13.00|13.08|15|13.23|30|13.38|45|13.53|14.00|14.08|15|14.23|30|14.38|45|14.53|15.00|15.08|15|15.23|30|15.38|45|15.53|16.00|16.08|15|16.23|30|16.38|45|16.53|17.00|17.08|15|17.23|30|17.38|45|17.53|18.00|18.08|15|18.23|30|18.38|45|18.53|19.00|19.08|15|30|39|54|20.02|09|24|39|54|09|39|09|39|09|39|09
Fischerstraße||||||||31|46|01||16||31||46|54|01|09|16|24|31|39|46|54|01|05|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|31|40|55|03|10|20.25|40|20.55|10|40|10|40|10|40|10
Hochfeld Süd Bf||||||||33|48|03||18||33||48|56|03|11|18|26|33|41|48|56|03|07|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|33|42|57|05|12||42||12|42|12|42|12|42|12
Marienhospital||||||||34|49|04||19||34||49|57|04|12|19|27|34|42|49|57|04|08|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|34|43|58|06|13||43||13|43|13|43|13|43|13
Pauluskirche||||||||36|51|06||21||36||51|59|06|14|21|29|36|44|51|59|06|10|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|36|45|20.00|08|15||45||15|45|15|45|15|45|15
Siechenhausstraße||||||||38|53|8||23||38||53|6.01|8|16|23|31|38|46|53|7.01|8|12|16|23|31|38|46|53|8.01|8|16|23|31|38|46|53|9.01|8|16|23|31|38|46|53|10.01|8|16|23|31|38|46|53|11.01|8|16|23|31|38|46|53|12.01|8|16|23|31|38|46|53|13.01|8|16|23|31|38|46|53|14.01|8|16|23|31|38|46|53|15.01|8|16|23|31|38|46|53|16.01|8|16|23|31|38|46|53|17.01|8|16|23|31|38|46|53|18.01|8|16|23|31|38|46|53|19.01|8|16|23|38|47|02|10|17||47||17|47|17|47|17|47|17
Brückenplatz||||||||39|54|9||24||39||54|02|9|17|24|32|39|47|54|02|9|13|17|24|32|39|47|54|02|9|17|24|32|39|47|54|9.02|9|17|24|32|39|47|54|10.02|9|17|24|32|39|47|54|11.02|9|17|24|32|39|47|54|12.02|9|17|24|32|39|47|54|13.02|9|17|24|32|39|47|54|14.02|9|17|24|32|39|47|54|15.02|9|17|24|32|39|47|54|16.02|9|17|24|32|39|47|54|17.02|9|17|24|32|39|47|54|18.02|9|17|24|32|39|47|54|19.02|9|17|24|39|48|03|11|18||48||18|48|18|48|18|48|18
Platanenhof||||3.37|3.55|4.10|4.25|40|55|10|5.18|25|5.33|40|5.48|55|6.03|10|18|25|33|40|48|55|7.03|10|14|18|25|33|40|48|55|8.03|10|18|25|33|40|48|55|9.03|10|18|25|33|40|48|55|10.03|10|18|25|33|40|48|55|11.03|10|18|25|33|40|48|55|12.03|10|18|25|33|40|48|55|13.03|10|18|25|33|40|48|55|14.03|10|18|25|33|40|48|55|15.03|10|18|25|33|40|48|55|16.03|10|18|25|33|40|48|55|17.03|10|18|25|33|40|48|55|18.03|10|18|25|33|40|48|55|19.03|10|18|25|40|49|04|12|19||49||19|49|19|49|19|49|19
Steinsche Gasse||||38|56|11|26|41|56|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|15|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|41|50|05|13|20||50||20|50|20|50|20|50|20
König-Heinrich-Platz||||39|57|12|27|42|57|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|16|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|42|51|06|14|21||51||21|51|21|51|21|51|21
Hauptbahnhof||||41|59|14|29|44|59|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|18|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|44|53|08|16|23||53||23|53|23|53|23|53|23
Duissern||||44|4.01|16|31|46|5.01|16|24|31|39|46|54|6.01|09|16|24|31|39|46|54|7.01|09|16|20|24|31|39|46|54|8.01|09|16|24|31|39|46|54|9.01|09|16|24|31|39|46|54|10.01|09|16|24|31|39|46|54|11.01|09|16|24|31|39|46|54|12.01|09|16|24|31|39|46|54|13.01|09|16|24|31|39|46|54|14.01|09|16|24|31|39|46|54|15.01|09|16|24|31|39|46|54|16.01|09|16|24|31|39|46|54|17.01|09|16|24|31|39|46|54|18.01|09|16|24|31|39|46|54|19.01|09|16|24|31|46|55|10|18|25||55||25|55|25|55|25|55|25
Auf dem Damm||||48|04|19|34|49|04|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|23|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|49|58|13|21|28||58||28|58|28|58|28|58|28
Meiderich Bahnhof|3.18|3.35|3.45|50|05|20|35|50|05|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|24|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|50|59|14|20.22|29||59||29|59|29|59|29|59|0.29
Emilstraße|21|38|48|53|08|23|38|53|08|23|31|38|46|53|6.01|08|16|23|31|38|46|53|7.01|08|16|23|27|31|38|46|53|8.01|08|16|23|31|38|46|53|9.01|08|16|23|31|38|46|53|10.01|08|16|23|31|38|46|53|11.01|08|16|23|31|38|46|53|12.01|08|16|23|31|38|46|53|13.01|08|16|23|31|38|46|53|14.01|08|16|23|31|38|46|53|15.01|08|16|23|31|38|46|53|16.01|08|16|23|31|38|46|53|17.01|08|16|23|31|38|46|53|18.01|08|16|23|31|38|46|53|19.01|08|16|23|31|38|53|20.02|17||32||21.02||32|22.02|32|23.02|32|0.02|
Voßstraße|23|40|50|55|10|25|40|55|10|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|29|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|55|04|19||34||04||34|04|34|04|34|04|
Landschaftspark Nord|24|41|51|56|11|26|41|56|11|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|30|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|56|05|20||35||05||35|05|35|05|35|05|
Theodor-Heuss-Straße|25|42|52|57|12|27|42|57|12|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|31|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|57|06|21||36||06||36|06|36|06|36|06|
Amsterdamer Straße|27|44|54|59|14|29|44|59|14|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|33|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|59|08|23||38||08||38|08|38|08|38|08|
Hamborn Feuerwache|29|46|56|4.01|16|31|46|5.01|16|31|39|46|54|6.01|9|16|24|31|39|46|54|7.01|9|16|24|31|35|39|46|54|8.01|9|16|24|31|39|46|54|9.01|9|16|24|31|39|46|54|10.01|9|16|24|31|39|46|54|11.01|9|16|24|31|39|46|54|12.01|9|16|24|31|39|46|54|13.01|9|16|24|31|39|46|54|14.01|9|16|24|31|39|46|54|15.01|9|16|24|31|39|46|54|16.01|9|16|24|31|39|46|54|17.01|9|16|24|31|39|46|54|18.01|9|16|24|31|39|46|54|19.01|9|16|24|31|39|46|20.01|10|25||40||10||40|10|40|10|40|10|
Hamborn Rathaus|30|47|57|4.02|17|32|47|5.02|17|32|40|47|55|6.02|10|17|25|32|40|47|55|7.02|10|17|25|32|36|40|47|55|8.02|10|17|25|32|40|47|55|9.02|10|17|25|32|40|47|55|10.02|10|17|25|32|40|47|55|11.02|10|17|25|32|40|47|55|12.02|10|17|25|32|40|47|55|13.02|10|17|25|32|40|47|55|14.02|10|17|25|32|40|47|55|15.02|10|17|25|32|40|47|55|16.02|10|17|25|32|40|47|55|17.02|10|17|25|32|40|47|55|18.02|10|17|25|32|40|47|55|19.02|10|17|25|32|40|47|20.02|11|26||41||11||41|11|41|11|41|11|
Rhein-Ruhr-Halle|32|49|59|4|19|34|49|4|19|34|42|49|57|4|12|19|27|34|42|49|57|4|12|19|27|34|38|42|49|57|4|12|19|27|34|42|49|57|4|12|19|27|34|42|49|57|4|12|19|27|34|42|49|57|4|12|19|27|34|42|49|57|4|12|19|27|34|42|49|57|4|12|19|27|34|42|49|57|4|12|19|27|34|42|49|57|4|12|19|27|34|42|49|57|4|12|19|27|34|42|49|57|4|12|19|27|34|42|49|57|4|12|19|27|34|42|49|57|4|12|19|27|34|42|49|4|13|28||43||13||43|13|43|13|43|13|
Marxloh Pollmann|34|51|4.01|06|21|36|51|06|21|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|40|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|06|15|30||45||15||45|15|45|15|45|15|
Wolfstraße|36|53|03|08|23|38|53|08|23|38|46|53|6.01|08|16|23|31|38|46|53|7.01|08|16|23|31|38|42|46|53|8.01|08|16|23|31|38|46|53|9.01|08|16|23|31|38|46|53|10.01|08|16|23|31|38|46|53|11.01|08|16|23|31|38|46|53|12.01|08|16|23|31|38|46|53|13.01|08|16|23|31|38|46|53|14.01|08|16|23|31|38|46|53|15.01|08|16|23|31|38|46|53|16.01|08|16|23|31|38|46|53|17.01|08|16|23|31|38|46|53|18.01|08|16|23|31|38|46|53|19.01|08|16|23|31|38|46|53|08|17|32||47||17||47|17|47|17|47|17|
Heckmann|37|54|04|09|24|39|54|09|24|39|47|54|6.02|09|17|24|32|39|47|54|7.02|09|17|24|32|39|43|47|54|8.02|09|17|24|32|39|47|54|9.02|09|17|24|32|39|47|54|10.02|09|17|24|32|39|47|54|11.02|09|17|24|32|39|47|54|12.02|09|17|24|32|39|47|54|13.02|09|17|24|32|39|47|54|14.02|09|17|24|32|39|47|54|15.02|09|17|24|32|39|47|54|16.02|09|17|24|32|39|47|54|17.02|09|17|24|32|39|47|54|18.02|09|17|24|32|39|47|54|19.02|09|17|24|32|39|47|54|09|18|33||48||18||48|18|48|18|48|18|
Striepweg|39|56|06|11|26|41|56|11|26|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|45|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|11|20|35||50||20||50|20|50|20|50|20|
Schwan|40|57|07|12|27|42|57|12|27|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|46|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|12|21|36||51||21||51|21|51|21|51|21|
Sonnenstraße|42|59|9|14|29|44|59|14|29|44|52|59|7|14|22|29|37|44|52|59|7|14|22|29|37|44|48|52|59|7|14|22|29|37|44|52|59|7|14|22|29|37|44|52|59|7|14|22|29|37|44|52|59|7|14|22|29|37|44|52|59|7|14|22|29|37|44|52|59|7|14|22|29|37|44|52|59|7|14|22|29|37|44|52|59|7|14|22|29|37|44|52|59|7|14|22|29|37|44|52|59|7|14|22|29|37|44|52|59|7|14|22|29|37|44|52|59|7|14|22|29|37|44|52|59|14|22|37||52||22||52|22|52|22|52|22|
Walsum Rathaus|43|4.00|10|15|30|45|5.00|15|30|45|53|6.00|08|15|23|30|38|45|53|7.00|08|15|23|30|38|45|49|53|8.00|08|15|23|30|38|45|53|9.00|08|15|23|30|38|45|53|10.00|08|15|23|30|38|45|53|11.00|08|15|23|30|38|45|53|12.00|08|15|23|30|38|45|53|13.00|08|15|23|30|38|45|53|14.00|08|15|23|30|38|45|53|15.00|08|15|23|30|38|45|53|16.00|08|15|23|30|38|45|53|17.00|08|15|23|30|38|45|53|18.00|08|15|23|30|38|45|53|19.00|08|15|23|30|38|45|53|20.00|15|23|38||53||23||53|23|53|23|53|23|
Walsum Betriebshof|44|01|11|16|31|46|5.01|16|31|46|54|6.01|09|16|24|31|39|46|54|7.01|09|16|24|31|39|46|50|54|8.01|09|16|24|31|39|46|54|9.01|09|16|24|31|39|46|54|10.01|09|16|24|31|39|46|54|11.01|09|16|24|31|39|46|54|12.01|09|16|24|31|39|46|54|13.01|09|16|24|31|39|46|54|14.01|09|16|24|31|39|46|54|15.01|09|16|24|31|39|46|54|16.01|09|16|24|31|39|46|54|17.01|09|16|24|31|39|46|54|18.01|09|16|24|31|39|46|54|19.01|09|16|24|31|39|46|54|20.01|16|24|39||54||24||54|24|54|24|54|24|
Fasanenstraße|45|02|12|17|32|47|5.02|17|32|47|55|6.02|10|17|25|32|40|47|55|7.02|10|17|25|32|40|47|51|55|8.02|10|17|25|32|40|47|55|9.02|10|17|25|32|40|47|55|10.02|10|17|25|32|40|47|55|11.02|10|17|25|32|40|47|55|12.02|10|17|25|32|40|47|55|13.02|10|17|25|32|40|47|55|14.02|10|17|25|32|40|47|55|15.02|10|17|25|32|40|47|55|16.02|10|17|25|32|40|47|55|17.02|10|17|25|32|40|47|55|18.02|10|17|25|32|40|47|55|19.02|10|17|25|32|40|47|55|20.02|17|25|40||55||25||55|25|55|25|55|25|
Vierlinden|46|03|13|18|33|48|03|18|33|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|52|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|18|26|41||56||26||56|26|56|26|56|26|
Watereck|3.47|04|4.14|19|34|49|04|19|34|49|5.57|04|6.12|19|6.27|34|6.42|49|6.57|04|7.12|19|7.27|34|7.42|49|7.53|7.57|04|8.12|19|8.27|34|8.42|49|8.57|04|9.12|19|9.27|34|9.42|49|9.57|04|10.12|19|10.27|34|10.42|49|10.57|04|11.12|19|11.27|34|11.42|49|11.57|04|12.12|19|12.27|34|12.42|49|12.57|04|13.12|19|13.27|34|13.42|49|13.57|04|14.12|19|14.27|34|14.42|49|14.57|04|15.12|19|15.27|34|15.42|49|15.57|04|16.12|19|16.27|34|16.42|49|16.57|04|17.12|19|17.27|34|17.42|49|17.57|04|18.12|19|18.27|34|18.42|49|18.57|04|19.12|19|19.27|34|19.42|19.49|57|20.04|20.19|27|20.42||57||27||57|27|57|27|57|0.27|
DIN-Bärenstraße||05||20|35|50|05|20|35|50||05||20||35||50||05||20||35||50|||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35|||58|||28|||58||28||58|28|58|28|58||
DIN-Pollenkamp||06||21|36|51|06|21|36|51||06||21||36||51||06||21||36||51|||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36|||59|||29|||59||29||59|29|59|29|59||
DIN-Trabrennbahn||08||23|38|53|08|23|38|53||08||23||38||53||08||23||38||53|||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38|||20.01|||31|||21.01||31||22.01|31|23.01|31|0.01||
DIN-Neustraße||10||25|40|55|10|25|40|55||10||25||40||55||10||25||40||55|||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40|||03|||33|||03||33||03|33|03|33|03||
DIN-Bahnhof||4.12||4.27|4.42|4.57|5.12|5.27|5.42|5.57||6.12||6.27||6.42||6.57||7.12||7.27||7.42||7.57|||8.12||8.27||8.42||8.57||9.12||9.27||9.42||9.57||10.12||10.27||10.42||10.57||11.12||11.27||11.42||11.57||12.12||12.27||12.42||12.57||13.12||13.27||13.42||13.57||14.12||14.27||14.42||14.57||15.12||15.27||15.42||15.57||16.12||16.27||16.42||16.57||17.12||17.27||17.42||17.57||18.12||18.27||18.42||18.57||19.12||19.27||19.42|||20.05|||20.35|||21.05||21.35||22.05|22.35|23.05|23.35|0.05||
